Date,Store_ID,Product_ID,Product_Category,Sales,Stock,Price,Promotion,Holiday,Weather,Local_Event,Competitor_Price,Supplier_Lead_Time,Year,Month,Day,Day_of_Week,Weekend
2025-01-19,Store_1,P005,Pharmacy,133,42,535,No,Yes,Rainy,Yes,651,14,2025,1,19,6,1
2025-01-20,Store_4,P010,Pharmacy,32,359,242,Yes,No,Sunny,No,632,8,2025,1,20,0,0
2025-01-21,Store_2,P004,Grocery,239,59,357,No,Yes,Hot,No,565,3,2025,1,21,1,0
2025-01-22,Store_5,P006,Grocery,148,377,979,Yes,Yes,Rainy,Yes,615,3,2025,1,22,2,0
2025-01-23,Store_4,P007,Pharmacy,27,498,185,No,Yes,Hot,Yes,940,1,2025,1,23,3,0
2025-01-24,Store_1,P009,Personal Care,62,456,402,No,Yes,Rainy,Yes,727,14,2025,1,24,4,0
2025-01-25,Store_1,P001,Grocery,195,223,875,Yes,Yes,Cloudy,Yes,861,3,2025,1,25,5,1
2025-01-26,Store_3,P006,Pharmacy,126,206,914,Yes,No,Rainy,Yes,221,14,2025,1,26,6,1
2025-01-27,Store_3,P007,Grocery,120,388,395,Yes,Yes,Rainy,Yes,363,12,2025,1,27,0,0
2025-01-28,Store_2,P003,Personal Care,279,459,490,Yes,No,Rainy,No,872,12,2025,1,28,1,0
2025-01-29,Store_4,P008,Beverage,265,487,809,No,No,Sunny,No,542,12,2025,1,29,2,0
2025-01-30,Store_4,P005,Grocery,294,56,661,Yes,Yes,Cloudy,No,878,13,2025,1,30,3,0
2025-01-31,Store_3,P009,Personal Care,31,477,50,No,No,Rainy,Yes,419,11,2025,1,31,4,0
2025-02-01,Store_4,P005,Pharmacy,156,461,394,Yes,Yes,Rainy,No,237,1,2025,2,1,5,1
2025-02-02,Store_4,P009,Grocery,38,301,30,Yes,No,Hot,Yes,464,8,2025,2,2,6,1
2025-02-03,Store_1,P010,Grocery,40,372,321,No,No,Cloudy,Yes,784,1,2025,2,3,0,0
2025-02-04,Store_3,P004,Pharmacy,148,93,115,No,No,Rainy,No,241,5,2025,2,4,1,0
2025-02-05,Store_5,P009,Beverage,46,483,209,Yes,Yes,Hot,Yes,402,9,2025,2,5,2,0
2025-02-06,Store_3,P005,Pharmacy,128,400,472,No,No,Hot,Yes,900,7,2025,2,6,3,0
2025-02-07,Store_5,P010,Grocery,38,444,211,No,Yes,Sunny,Yes,611,4,2025,2,7,4,0
2025-02-08,Store_1,P009,Pharmacy,43,487,505,No,No,Hot,Yes,26,11,2025,2,8,5,1
2025-02-09,Store_2,P003,Personal Care,288,23,285,No,No,Rainy,Yes,291,9,2025,2,9,6,1
2025-02-10,Store_4,P004,Pharmacy,181,224,443,No,No,Sunny,Yes,758,9,2025,2,10,0,0
2025-02-11,Store_1,P009,Grocery,45,409,147,No,No,Sunny,No,35,2,2025,2,11,1,0
2025-02-12,Store_4,P010,Pharmacy,64,463,257,No,Yes,Rainy,Yes,443,10,2025,2,12,2,0
2025-02-13,Store_2,P006,Beverage,242,319,939,No,Yes,Cloudy,Yes,543,10,2025,2,13,3,0
2025-02-14,Store_2,P002,Pharmacy,78,486,374,Yes,No,Hot,Yes,822,11,2025,2,14,4,0
2025-02-15,Store_1,P007,Beverage,266,257,959,No,No,Sunny,Yes,772,12,2025,2,15,5,1
2025-02-16,Store_2,P002,Personal Care,147,413,131,Yes,Yes,Cloudy,No,40,6,2025,2,16,6,1
2025-02-17,Store_5,P002,Beverage,44,38,847,No,Yes,Rainy,No,709,4,2025,2,17,0,0
2025-02-18,Store_2,P001,Pharmacy,150,289,465,No,Yes,Hot,Yes,958,8,2025,2,18,1,0
2025-02-19,Store_4,P003,Grocery,215,347,362,No,Yes,Hot,Yes,247,12,2025,2,19,2,0
2025-02-20,Store_4,P006,Beverage,173,328,164,No,No,Sunny,Yes,804,11,2025,2,20,3,0
2025-02-21,Store_4,P008,Personal Care,152,211,84,Yes,No,Hot,No,307,7,2025,2,21,4,0
2025-02-22,Store_4,P009,Beverage,47,360,266,Yes,Yes,Hot,No,828,7,2025,2,22,5,1
2025-02-23,Store_5,P007,Beverage,208,66,754,No,Yes,Hot,No,153,11,2025,2,23,6,1
2025-02-24,Store_3,P004,Beverage,284,401,509,Yes,Yes,Hot,No,302,10,2025,2,24,0,0
2025-02-25,Store_1,P006,Personal Care,153,227,844,No,Yes,Rainy,Yes,423,9,2025,2,25,1,0
2025-02-26,Store_4,P005,Pharmacy,230,71,458,No,Yes,Cloudy,No,684,13,2025,2,26,2,0
2025-02-27,Store_2,P008,Beverage,79,166,125,Yes,Yes,Rainy,No,85,5,2025,2,27,3,0
2025-02-28,Store_4,P001,Beverage,232,211,200,Yes,No,Rainy,Yes,668,6,2025,2,28,4,0
2025-03-01,Store_2,P001,Grocery,235,26,203,No,No,Sunny,Yes,623,1,2025,3,1,5,1
2025-03-02,Store_2,P006,Personal Care,245,331,245,No,No,Hot,No,456,6,2025,3,2,6,1
2025-03-03,Store_4,P010,Beverage,65,316,796,Yes,Yes,Rainy,No,848,2,2025,3,3,0,0
2025-03-04,Store_5,P002,Personal Care,95,67,809,No,Yes,Hot,No,953,6,2025,3,4,1,0
2025-03-05,Store_2,P005,Beverage,296,334,928,Yes,Yes,Rainy,No,278,9,2025,3,5,2,0
2025-03-06,Store_2,P001,Pharmacy,175,421,108,No,No,Rainy,Yes,999,8,2025,3,6,3,0
2025-03-07,Store_4,P007,Pharmacy,267,327,707,No,Yes,Sunny,Yes,985,9,2025,3,7,4,0
2025-03-08,Store_2,P001,Beverage,237,178,549,Yes,Yes,Cloudy,No,122,13,2025,3,8,5,1
2025-03-09,Store_2,P004,Pharmacy,209,462,390,Yes,No,Cloudy,No,586,10,2025,3,9,6,1
2025-03-10,Store_4,P009,Beverage,37,348,991,Yes,Yes,Rainy,No,788,8,2025,3,10,0,0
2025-03-11,Store_4,P001,Pharmacy,199,483,955,No,No,Sunny,No,120,3,2025,3,11,1,0
2025-03-12,Store_1,P004,Grocery,53,477,932,No,No,Hot,No,217,8,2025,3,12,2,0
2025-03-13,Store_5,P006,Grocery,60,434,418,No,Yes,Hot,Yes,832,6,2025,3,13,3,0
2025-03-14,Store_5,P006,Grocery,94,442,125,No,No,Rainy,Yes,245,13,2025,3,14,4,0
2025-03-15,Store_2,P008,Personal Care,298,228,290,Yes,Yes,Cloudy,Yes,962,6,2025,3,15,5,1
2025-03-16,Store_5,P001,Personal Care,195,186,994,No,No,Sunny,No,482,6,2025,3,16,6,1
2025-03-17,Store_2,P007,Grocery,169,213,850,No,Yes,Cloudy,No,256,3,2025,3,17,0,0
2025-03-18,Store_1,P001,Personal Care,292,80,522,No,No,Hot,Yes,45,10,2025,3,18,1,0
2025-03-19,Store_4,P007,Pharmacy,127,396,698,Yes,Yes,Cloudy,Yes,140,1,2025,3,19,2,0
2025-03-20,Store_4,P003,Beverage,158,275,544,No,No,Hot,No,929,12,2025,3,20,3,0
2025-03-21,Store_4,P008,Beverage,290,107,868,No,No,Sunny,Yes,525,14,2025,3,21,4,0
2025-03-22,Store_5,P003,Beverage,231,354,51,Yes,No,Sunny,No,201,4,2025,3,22,5,1
2025-03-23,Store_1,P001,Grocery,291,300,412,No,Yes,Rainy,No,730,10,2025,3,23,6,1
2025-03-24,Store_5,P008,Personal Care,85,217,59,No,Yes,Rainy,Yes,833,12,2025,3,24,0,0
2025-03-25,Store_5,P003,Pharmacy,267,11,679,Yes,No,Cloudy,Yes,786,6,2025,3,25,1,0
2025-03-26,Store_1,P002,Pharmacy,175,133,237,No,Yes,Sunny,Yes,653,11,2025,3,26,2,0
2025-03-27,Store_1,P001,Grocery,66,289,750,No,No,Sunny,No,562,12,2025,3,27,3,0
2025-03-28,Store_1,P003,Pharmacy,220,83,101,No,Yes,Rainy,No,334,10,2025,3,28,4,0
2025-03-29,Store_1,P002,Pharmacy,167,175,864,Yes,No,Hot,Yes,816,2,2025,3,29,5,1
2025-03-30,Store_4,P002,Pharmacy,143,31,739,No,Yes,Cloudy,No,637,7,2025,3,30,6,1
2025-03-31,Store_3,P006,Pharmacy,20,163,220,No,No,Cloudy,No,755,7,2025,3,31,0,0
2025-04-01,Store_3,P001,Personal Care,266,436,466,Yes,No,Rainy,No,292,11,2025,4,1,1,0
2025-04-02,Store_1,P002,Pharmacy,147,448,863,Yes,No,Sunny,Yes,929,4,2025,4,2,2,0
2025-04-03,Store_3,P006,Beverage,210,304,447,No,No,Rainy,No,251,4,2025,4,3,3,0
2025-04-04,Store_3,P003,Grocery,86,228,57,No,Yes,Rainy,Yes,439,1,2025,4,4,4,0
2025-04-05,Store_1,P004,Personal Care,23,166,230,No,No,Rainy,Yes,787,13,2025,4,5,5,1
2025-04-06,Store_3,P001,Pharmacy,162,239,463,No,Yes,Rainy,No,461,2,2025,4,6,6,1
2025-04-07,Store_5,P008,Personal Care,210,29,346,Yes,Yes,Hot,Yes,515,9,2025,4,7,0,0
2025-04-08,Store_2,P007,Pharmacy,40,484,780,No,No,Hot,No,43,10,2025,4,8,1,0
2025-04-09,Store_2,P007,Beverage,246,50,246,Yes,Yes,Sunny,Yes,128,8,2025,4,9,2,0
2025-04-10,Store_1,P003,Grocery,136,447,67,Yes,Yes,Rainy,Yes,722,8,2025,4,10,3,0
2025-04-11,Store_4,P010,Pharmacy,63,375,37,No,Yes,Hot,No,521,9,2025,4,11,4,0
2025-04-12,Store_1,P010,Pharmacy,55,487,931,No,No,Sunny,Yes,878,7,2025,4,12,5,1
2025-04-13,Store_4,P003,Pharmacy,271,412,458,Yes,Yes,Rainy,Yes,44,13,2025,4,13,6,1
2025-04-14,Store_2,P002,Pharmacy,226,93,826,Yes,Yes,Cloudy,Yes,206,9,2025,4,14,0,0
2025-04-15,Store_1,P001,Grocery,229,492,727,No,No,Hot,No,307,10,2025,4,15,1,0
2025-04-16,Store_5,P007,Grocery,134,376,206,Yes,No,Sunny,No,647,12,2025,4,16,2,0
2025-04-17,Store_3,P007,Beverage,244,331,364,No,Yes,Cloudy,Yes,357,2,2025,4,17,3,0
2025-04-18,Store_4,P002,Grocery,153,423,243,No,No,Rainy,Yes,897,6,2025,4,18,4,0
2025-04-19,Store_3,P007,Pharmacy,270,318,849,Yes,Yes,Rainy,Yes,933,3,2025,4,19,5,1
2025-04-20,Store_3,P008,Beverage,238,299,507,Yes,Yes,Rainy,No,56,11,2025,4,20,6,1
2025-04-21,Store_1,P001,Beverage,110,415,928,No,Yes,Hot,No,813,6,2025,4,21,0,0
2025-04-22,Store_3,P009,Beverage,61,447,896,Yes,No,Sunny,Yes,156,3,2025,4,22,1,0
2025-04-23,Store_5,P007,Pharmacy,57,143,868,No,Yes,Cloudy,No,527,8,2025,4,23,2,0
2025-04-24,Store_3,P003,Personal Care,161,216,248,No,No,Sunny,No,246,11,2025,4,24,3,0
2025-04-25,Store_1,P008,Pharmacy,119,292,409,No,No,Hot,No,339,13,2025,4,25,4,0
2025-04-26,Store_5,P007,Grocery,209,275,998,Yes,Yes,Sunny,No,859,4,2025,4,26,5,1
2025-04-27,Store_2,P008,Grocery,54,82,608,No,No,Hot,Yes,935,12,2025,4,27,6,1
2025-04-28,Store_3,P006,Pharmacy,166,490,207,No,No,Rainy,No,201,10,2025,4,28,0,0
2025-04-29,Store_1,P009,Pharmacy,48,477,877,No,No,Cloudy,No,893,6,2025,4,29,1,0
2025-04-30,Store_2,P005,Beverage,103,57,289,No,No,Rainy,Yes,105,9,2025,4,30,2,0
2025-05-01,Store_2,P003,Pharmacy,289,335,626,No,No,Sunny,Yes,486,2,2025,5,1,3,0
2025-05-02,Store_4,P003,Beverage,173,242,329,No,Yes,Rainy,No,945,2,2025,5,2,4,0
2025-05-03,Store_5,P001,Grocery,121,452,151,No,No,Cloudy,No,72,7,2025,5,3,5,1
2025-05-04,Store_3,P008,Beverage,234,109,570,No,Yes,Rainy,Yes,879,2,2025,5,4,6,1
2025-05-05,Store_1,P002,Pharmacy,169,68,91,No,Yes,Cloudy,Yes,886,2,2025,5,5,0,0
2025-05-06,Store_4,P003,Grocery,102,267,812,No,Yes,Cloudy,Yes,254,4,2025,5,6,1,0
2025-05-07,Store_5,P008,Personal Care,129,422,864,No,Yes,Rainy,No,978,9,2025,5,7,2,0
2025-05-08,Store_4,P008,Beverage,294,461,691,Yes,Yes,Hot,No,798,8,2025,5,8,3,0
2025-05-09,Store_5,P004,Grocery,220,74,206,No,Yes,Sunny,Yes,818,2,2025,5,9,4,0
2025-05-10,Store_5,P004,Beverage,192,92,505,No,No,Hot,No,452,8,2025,5,10,5,1
2025-05-11,Store_3,P005,Grocery,225,163,210,No,No,Hot,Yes,515,4,2025,5,11,6,1
2025-05-12,Store_5,P006,Grocery,82,482,441,Yes,No,Rainy,No,119,2,2025,5,12,0,0
2025-05-13,Store_4,P005,Beverage,92,275,139,No,Yes,Sunny,Yes,618,11,2025,5,13,1,0
2025-05-14,Store_5,P007,Personal Care,270,318,239,Yes,No,Sunny,Yes,422,10,2025,5,14,2,0
2025-05-15,Store_3,P002,Grocery,143,88,72,No,No,Hot,No,415,7,2025,5,15,3,0
2025-05-16,Store_3,P007,Grocery,140,324,753,No,No,Rainy,No,546,6,2025,5,16,4,0
2025-05-17,Store_4,P010,Grocery,36,430,470,Yes,Yes,Sunny,No,434,14,2025,5,17,5,1
2025-05-18,Store_2,P007,Personal Care,139,444,431,No,No,Hot,No,958,10,2025,5,18,6,1
2025-05-19,Store_2,P001,Personal Care,183,57,662,Yes,Yes,Sunny,No,632,5,2025,5,19,0,0
2025-05-20,Store_5,P007,Pharmacy,284,414,256,Yes,No,Rainy,No,696,11,2025,5,20,1,0
2025-05-21,Store_1,P005,Beverage,180,388,777,No,Yes,Rainy,Yes,482,1,2025,5,21,2,0
2025-05-22,Store_5,P003,Personal Care,108,257,757,No,Yes,Rainy,No,560,2,2025,5,22,3,0
2025-05-23,Store_4,P003,Beverage,161,287,739,No,Yes,Sunny,Yes,645,8,2025,5,23,4,0
2025-05-24,Store_4,P004,Pharmacy,222,365,425,No,No,Cloudy,Yes,638,1,2025,5,24,5,1
2025-05-25,Store_4,P002,Beverage,246,107,627,Yes,No,Sunny,No,941,3,2025,5,25,6,1
2025-05-26,Store_4,P002,Personal Care,241,423,441,Yes,Yes,Cloudy,Yes,383,2,2025,5,26,0,0
2025-05-27,Store_4,P001,Beverage,60,34,731,No,No,Rainy,Yes,149,5,2025,5,27,1,0
2025-05-28,Store_3,P005,Personal Care,215,293,266,Yes,Yes,Hot,No,103,4,2025,5,28,2,0
2025-05-29,Store_2,P004,Beverage,87,458,91,Yes,Yes,Cloudy,No,290,13,2025,5,29,3,0
2025-05-30,Store_4,P010,Personal Care,23,342,849,No,No,Rainy,No,263,7,2025,5,30,4,0
2025-05-31,Store_1,P002,Personal Care,21,310,204,Yes,No,Rainy,Yes,407,5,2025,5,31,5,1
2025-06-01,Store_1,P003,Beverage,144,77,25,Yes,No,Cloudy,No,233,8,2025,6,1,6,1
2025-06-02,Store_1,P007,Pharmacy,129,16,225,No,Yes,Hot,No,837,4,2025,6,2,0,0
2025-06-03,Store_1,P007,Grocery,105,314,563,Yes,Yes,Rainy,No,185,12,2025,6,3,1,0
2025-06-04,Store_3,P004,Pharmacy,139,146,630,No,No,Cloudy,No,810,6,2025,6,4,2,0
2025-06-05,Store_1,P005,Beverage,146,173,925,Yes,Yes,Hot,Yes,78,4,2025,6,5,3,0
2025-06-06,Store_4,P005,Pharmacy,274,92,406,No,No,Hot,No,621,2,2025,6,6,4,0
2025-06-07,Store_5,P006,Personal Care,202,394,787,Yes,Yes,Rainy,Yes,902,1,2025,6,7,5,1
2025-06-08,Store_1,P009,Grocery,63,356,718,Yes,No,Sunny,No,862,14,2025,6,8,6,1
2025-06-09,Store_3,P002,Beverage,81,429,95,No,No,Sunny,Yes,943,14,2025,6,9,0,0
2025-06-10,Store_3,P005,Beverage,177,82,196,No,Yes,Rainy,Yes,523,1,2025,6,10,1,0
2025-06-11,Store_1,P003,Beverage,287,246,846,No,No,Hot,Yes,725,8,2025,6,11,2,0
2025-06-12,Store_5,P004,Grocery,54,55,818,No,No,Rainy,No,142,14,2025,6,12,3,0
2025-06-13,Store_1,P010,Personal Care,64,349,368,Yes,Yes,Cloudy,Yes,667,4,2025,6,13,4,0
2025-06-14,Store_3,P006,Beverage,83,425,274,Yes,No,Sunny,No,432,5,2025,6,14,5,1
2025-06-15,Store_2,P008,Pharmacy,69,297,856,Yes,Yes,Cloudy,No,158,11,2025,6,15,6,1
2025-06-16,Store_4,P001,Beverage,274,271,721,No,No,Rainy,No,248,8,2025,6,16,0,0
2025-06-17,Store_3,P010,Beverage,48,495,327,Yes,Yes,Rainy,No,293,12,2025,6,17,1,0
2025-06-18,Store_1,P008,Beverage,295,175,364,Yes,No,Hot,No,458,7,2025,6,18,2,0
2025-06-19,Store_4,P007,Beverage,191,154,146,No,No,Hot,Yes,581,13,2025,6,19,3,0
2025-06-20,Store_1,P001,Personal Care,220,339,956,No,No,Hot,No,929,8,2025,6,20,4,0
2025-06-21,Store_1,P002,Pharmacy,54,379,306,Yes,No,Cloudy,Yes,137,13,2025,6,21,5,1
2025-06-22,Store_2,P003,Personal Care,235,292,785,No,Yes,Hot,Yes,733,8,2025,6,22,6,1
2025-06-23,Store_4,P001,Pharmacy,84,63,744,Yes,Yes,Rainy,Yes,924,6,2025,6,23,0,0
2025-06-24,Store_4,P009,Beverage,23,477,781,Yes,Yes,Hot,Yes,502,10,2025,6,24,1,0
2025-06-25,Store_2,P008,Grocery,95,428,615,No,Yes,Sunny,Yes,414,2,2025,6,25,2,0
2025-06-26,Store_3,P002,Personal Care,193,253,506,Yes,Yes,Hot,Yes,722,6,2025,6,26,3,0
2025-06-27,Store_1,P009,Grocery,29,336,402,No,Yes,Cloudy,Yes,895,14,2025,6,27,4,0
2025-06-28,Store_5,P007,Personal Care,34,136,425,No,Yes,Sunny,No,479,1,2025,6,28,5,1
2025-06-29,Store_1,P009,Beverage,44,345,407,Yes,No,Sunny,Yes,854,1,2025,6,29,6,1
2025-06-30,Store_1,P006,Personal Care,45,421,544,Yes,No,Sunny,No,712,11,2025,6,30,0,0
2025-07-01,Store_3,P006,Beverage,112,376,576,Yes,No,Cloudy,Yes,954,3,2025,7,1,1,0
2025-07-02,Store_1,P004,Personal Care,251,280,658,No,No,Rainy,Yes,97,3,2025,7,2,2,0
2025-07-03,Store_2,P010,Beverage,50,469,957,Yes,Yes,Hot,Yes,971,11,2025,7,3,3,0
2025-07-04,Store_2,P010,Beverage,22,314,645,No,Yes,Sunny,Yes,431,13,2025,7,4,4,0
2025-07-05,Store_4,P002,Pharmacy,295,388,964,No,Yes,Sunny,No,94,5,2025,7,5,5,1
2025-07-06,Store_5,P007,Beverage,176,82,295,Yes,No,Sunny,No,314,1,2025,7,6,6,1
2025-07-07,Store_1,P005,Pharmacy,198,420,519,No,Yes,Rainy,No,812,10,2025,7,7,0,0
2025-07-08,Store_1,P006,Beverage,151,419,736,Yes,No,Rainy,Yes,40,6,2025,7,8,1,0
2025-07-09,Store_3,P002,Grocery,47,412,356,Yes,Yes,Cloudy,Yes,925,7,2025,7,9,2,0
2025-07-10,Store_2,P005,Beverage,279,257,969,Yes,Yes,Rainy,Yes,190,10,2025,7,10,3,0
2025-07-11,Store_5,P010,Grocery,66,460,951,Yes,Yes,Hot,No,34,12,2025,7,11,4,0
2025-07-12,Store_4,P004,Grocery,86,282,500,Yes,Yes,Cloudy,Yes,230,13,2025,7,12,5,1
2025-07-13,Store_2,P009,Beverage,21,379,916,Yes,No,Cloudy,No,579,11,2025,7,13,6,1
2025-07-14,Store_4,P006,Grocery,181,386,930,Yes,No,Hot,No,105,3,2025,7,14,0,0
2025-07-15,Store_3,P002,Pharmacy,276,50,992,No,Yes,Hot,Yes,168,4,2025,7,15,1,0
2025-07-16,Store_3,P001,Personal Care,91,179,292,Yes,No,Hot,Yes,719,10,2025,7,16,2,0
2025-07-17,Store_1,P005,Beverage,106,443,939,No,Yes,Cloudy,No,391,11,2025,7,17,3,0
2025-07-18,Store_5,P009,Grocery,44,438,77,No,Yes,Cloudy,No,499,10,2025,7,18,4,0
2025-07-19,Store_4,P006,Beverage,233,177,347,No,Yes,Cloudy,No,837,14,2025,7,19,5,1
2025-07-20,Store_2,P010,Pharmacy,68,447,750,Yes,Yes,Hot,Yes,170,12,2025,7,20,6,1
2025-07-21,Store_3,P007,Beverage,229,378,128,No,No,Hot,Yes,160,10,2025,7,21,0,0
2025-07-22,Store_1,P005,Beverage,80,254,298,No,Yes,Sunny,Yes,88,14,2025,7,22,1,0
2025-07-23,Store_1,P010,Grocery,25,323,705,Yes,Yes,Rainy,Yes,279,10,2025,7,23,2,0
2025-07-24,Store_4,P006,Pharmacy,281,120,347,Yes,No,Sunny,Yes,865,10,2025,7,24,3,0
2025-07-25,Store_3,P005,Personal Care,237,489,795,No,Yes,Hot,Yes,987,3,2025,7,25,4,0
2025-07-26,Store_5,P009,Personal Care,45,424,334,Yes,No,Cloudy,No,540,1,2025,7,26,5,1
2025-07-27,Store_3,P006,Grocery,112,56,493,Yes,Yes,Hot,No,652,8,2025,7,27,6,1
2025-07-28,Store_4,P008,Beverage,128,72,130,Yes,Yes,Rainy,No,390,13,2025,7,28,0,0
2025-07-29,Store_4,P002,Grocery,260,234,718,Yes,Yes,Sunny,Yes,438,10,2025,7,29,1,0
2025-07-30,Store_3,P009,Grocery,27,491,800,No,Yes,Sunny,No,120,10,2025,7,30,2,0
2025-07-31,Store_4,P005,Grocery,256,78,954,Yes,Yes,Cloudy,Yes,680,2,2025,7,31,3,0
2025-08-01,Store_3,P007,Beverage,196,308,248,Yes,Yes,Sunny,Yes,973,1,2025,8,1,4,0
2025-08-02,Store_2,P010,Pharmacy,54,417,516,Yes,No,Sunny,No,677,14,2025,8,2,5,1
2025-08-03,Store_3,P001,Grocery,208,299,175,No,Yes,Hot,Yes,884,8,2025,8,3,6,1
2025-08-04,Store_3,P010,Beverage,46,379,492,No,No,Sunny,No,987,7,2025,8,4,0,0
2025-08-05,Store_4,P005,Pharmacy,209,212,720,Yes,No,Sunny,No,262,7,2025,8,5,1,0
2025-08-06,Store_4,P010,Grocery,44,393,291,Yes,Yes,Sunny,Yes,772,4,2025,8,6,2,0
2025-08-07,Store_1,P002,Personal Care,62,443,906,No,No,Cloudy,No,531,11,2025,8,7,3,0
2025-08-08,Store_1,P006,Pharmacy,109,460,21,Yes,Yes,Cloudy,No,868,9,2025,8,8,4,0
2025-08-09,Store_2,P001,Grocery,264,327,777,Yes,No,Hot,No,574,6,2025,8,9,5,1
2025-08-10,Store_1,P003,Pharmacy,211,323,741,No,Yes,Sunny,No,114,2,2025,8,10,6,1
2025-08-11,Store_3,P005,Pharmacy,125,170,530,Yes,No,Cloudy,Yes,245,14,2025,8,11,0,0
2025-08-12,Store_4,P004,Pharmacy,252,340,932,Yes,No,Cloudy,No,537,1,2025,8,12,1,0
2025-08-13,Store_1,P003,Pharmacy,284,25,305,No,Yes,Hot,No,233,1,2025,8,13,2,0
2025-08-14,Store_1,P010,Pharmacy,37,364,890,No,No,Rainy,No,737,9,2025,8,14,3,0
2025-08-15,Store_2,P005,Pharmacy,60,103,32,Yes,Yes,Sunny,Yes,86,4,2025,8,15,4,0
2025-08-16,Store_2,P008,Grocery,36,313,627,No,Yes,Cloudy,No,415,5,2025,8,16,5,1
2025-08-17,Store_3,P004,Personal Care,296,147,517,Yes,Yes,Hot,Yes,631,3,2025,8,17,6,1
2025-08-18,Store_4,P001,Beverage,78,347,752,Yes,Yes,Hot,No,31,4,2025,8,18,0,0
2025-08-19,Store_2,P007,Pharmacy,202,47,257,Yes,Yes,Hot,No,256,12,2025,8,19,1,0
2025-08-20,Store_1,P008,Beverage,60,136,113,No,No,Cloudy,No,853,8,2025,8,20,2,0
2025-08-21,Store_4,P003,Grocery,58,284,357,No,No,Sunny,Yes,789,13,2025,8,21,3,0
2025-08-22,Store_4,P006,Pharmacy,211,173,800,Yes,No,Rainy,Yes,418,4,2025,8,22,4,0
2025-08-23,Store_1,P002,Personal Care,286,452,190,Yes,Yes,Sunny,Yes,426,9,2025,8,23,5,1
2025-08-24,Store_2,P007,Beverage,166,328,625,No,No,Hot,Yes,944,9,2025,8,24,6,1
2025-08-25,Store_1,P008,Pharmacy,146,86,680,No,No,Hot,Yes,868,6,2025,8,25,0,0
2025-08-26,Store_4,P006,Grocery,65,183,643,No,No,Rainy,Yes,499,2,2025,8,26,1,0
2025-08-27,Store_5,P006,Personal Care,64,396,586,Yes,No,Sunny,No,666,12,2025,8,27,2,0
2025-08-28,Store_5,P005,Beverage,20,467,868,No,No,Hot,Yes,241,10,2025,8,28,3,0
2025-08-29,Store_3,P008,Beverage,187,367,955,No,Yes,Hot,No,175,11,2025,8,29,4,0
2025-08-30,Store_1,P001,Pharmacy,127,330,486,Yes,Yes,Sunny,Yes,673,7,2025,8,30,5,1
2025-08-31,Store_1,P010,Personal Care,20,387,647,Yes,No,Hot,Yes,447,9,2025,8,31,6,1
2025-09-01,Store_3,P004,Personal Care,91,100,162,Yes,Yes,Sunny,Yes,177,6,2025,9,1,0,0
2025-09-02,Store_3,P004,Personal Care,128,247,220,No,Yes,Hot,No,996,3,2025,9,2,1,0
2025-09-03,Store_3,P003,Personal Care,287,273,199,Yes,No,Sunny,Yes,435,14,2025,9,3,2,0
2025-09-04,Store_4,P003,Grocery,259,188,733,Yes,No,Rainy,Yes,345,7,2025,9,4,3,0
2025-09-05,Store_1,P004,Personal Care,109,499,383,Yes,Yes,Hot,No,390,5,2025,9,5,4,0
